time,latitude,longitude
2016-06-16T15:48:24.412961959839,27.4681751,-80.32216092
2016-06-16T15:48:29.306116104126,27.4681698,-80.32213927
2016-06-16T15:48:34.214474916458,27.4681684,-80.32211932
2016-06-16T15:48:39.115168094635,27.46815829,-80.3220894
2016-06-16T15:48:44.0097029209137,27.468161,-80.32206775
2016-06-16T15:48:48.909493923187,27.4681589,-80.32203783
2016-06-16T15:48:53.807827949524,27.46814949,-80.32201789
2016-06-16T15:48:58.702651023865,27.46814739,-80.32198797
2016-06-16T15:49:03.599216938019,27.46813729,-80.32195805
2016-06-16T15:49:08.494275093079,27.46813519,-80.32192813
2016-06-16T15:49:13.38631606102,27.46812988,-80.32190648
2016-06-16T15:49:18.281941890717,27.46812778,-80.32187656
2016-06-16T15:49:23.284130096436,27.46811768,-80.32184664
2016-06-16T15:49:28.18063211441,27.46811628,-80.32182669
2016-06-16T15:49:33.0761799812317,27.46810617,-80.32179677
2016-06-16T15:49:37.976013898849,27.46810407,-80.32176685
2016-06-16T15:49:42.901551961899,27.46809467,-80.32174691
2016-06-16T15:49:47.830872058868,27.46809257,-80.32171699
2016-06-16T15:49:52.72885799408,27.46808246,-80.32168707
2016-06-16T15:49:57.725562095642,27.46808036,-80.32165715
2016-06-16T15:50:02.722990036011,27.46806635,-80.32162552
2016-06-16T15:50:07.622602939606,27.46806425,-80.3215956
2016-06-16T15:50:12.616856098175,27.46805414,-80.32156568
2016-06-16T15:50:17.614190101624,27.46805615,-80.32153406
2016-06-16T15:50:22.509238004684,27.46804534,-80.32149417
2016-06-16T15:50:27.403493881226,27.46803524,-80.32146425
2016-06-16T15:50:32.401783943176,27.46803314,-80.32143433
2016-06-16T15:50:37.312186002731,27.46802713,-80.32140271
2016-06-16T15:50:42.275675058365,27.46802573,-80.32138276
2016-06-16T15:50:47.214378118515,27.46802363,-80.32135284
2016-06-16T15:50:52.269047021866,27.46801353,-80.32132292
2016-06-16T15:50:57.213681936264,27.46801143,-80.321293
2016-06-16T15:51:02.169008970261,27.46801343,-80.32126138
2016-06-16T15:51:07.214348077774,27.46800333,-80.32123146
2016-06-16T15:51:12.265759944916,27.46800123,-80.32120154
2016-06-16T15:51:17.209044933319,27.46799112,-80.32117162
2016-06-16T15:51:22.270412921906,27.46798031,-80.32113173
2016-06-16T15:51:27.292444944382,27.46797431,-80.32110011
2016-06-16T15:51:32.29403090477,27.46797291,-80.32108016
2016-06-16T15:51:37.293467998505,27.4679621,-80.32104027
2016-06-16T15:51:42.298038959503,27.46796,-80.32101035
2016-06-16T15:51:47.252012968063,27.467954,-80.32097873
2016-06-16T15:51:52.299566984177,27.46794319,-80.32093883
2016-06-16T15:51:57.257421016693,27.46794109,-80.32090891
2016-06-16T15:52:02.203263044357,27.46793509,-80.32087729
2016-06-16T15:52:07.143306016922,27.46793229,-80.3208374
2016-06-16T15:52:12.038556098938,27.46792219,-80.32080748
2016-06-16T15:52:17.0360860824585,27.46791548,-80.32076589
2016-06-16T15:52:22.0309290885925,27.46791338,-80.32073597
2016-06-16T15:52:26.923439979553,27.46790668,-80.32069437
2016-06-16T15:52:31.810060024261,27.46790458,-80.32066445
2016-06-16T15:52:36.802171945572,27.46789377,-80.32062456
2016-06-16T15:52:41.791358947754,27.46788367,-80.32059464
2016-06-16T15:52:46.701817989349,27.46788157,-80.32056472
2016-06-16T15:52:51.601032018661,27.46787556,-80.3205331
2016-06-16T15:52:56.598000049591,27.46787346,-80.32050318
2016-06-16T15:53:01.500678062439,27.46786266,-80.32046328
2016-06-16T15:53:06.416532993317,27.46785255,-80.32043336
2016-06-16T15:53:11.330614089966,27.46784975,-80.32039347
2016-06-16T15:53:16.243556022644,27.46784305,-80.32035188
2016-06-16T15:53:21.136795043945,27.46784095,-80.32032196
2016-06-16T15:53:26.0296850204468,27.46783014,-80.32028206
2016-06-16T15:53:30.931005001068,27.46782804,-80.32025214
2016-06-16T15:53:35.825206041336,27.46782524,-80.32021225
2016-06-16T15:53:40.811398983002,27.46781924,-80.32018063
2016-06-16T15:53:45.710510969162,27.46781714,-80.32015071
2016-06-16T15:53:50.609715938568,27.46780703,-80.32012079
2016-06-16T15:53:55.624330997467,27.46780834,-80.3200792
2016-06-16T15:54:00.622489929199,27.46779823,-80.32004928
2016-06-16T15:54:05.651824951172,27.46780023,-80.32001766
2016-06-16T15:54:10.571893930435,27.46778943,-80.31997776
2016-06-16T15:54:15.472140073776,27.46777932,-80.31994784
2016-06-16T15:54:20.382342100143,27.46778062,-80.31990625
2016-06-16T15:54:25.282068967819,27.46777052,-80.31987633
2016-06-16T15:54:30.274956941605,27.46777252,-80.31984471
2016-06-16T15:54:35.154706954956,27.46777252,-80.31984471
2016-06-16T15:54:40.129348039627,27.46777252,-80.31984471
2016-06-16T15:54:45.100025892258,27.46777252,-80.31984471
2016-06-16T15:54:50.0744090080261,27.46777252,-80.31984471
2016-06-16T15:54:55.0471129417419,27.46777252,-80.31984471
2016-06-16T15:55:00.0198600292206,27.46777252,-80.31984471
2016-06-16T15:55:04.993380069733,27.46777252,-80.31984471
2016-06-16T15:55:09.881490945816,27.46777252,-80.31984471
2016-06-16T15:55:14.852526903152,27.46777252,-80.31984471
2016-06-16T15:55:19.824810028076,27.46777252,-80.31984471
2016-06-16T15:55:24.797373056412,27.46777252,-80.31984471
2016-06-16T15:55:29.768038034439,27.46776311,-80.31982476
2016-06-16T15:55:34.874655008316,27.46768648,-80.31935092
2016-06-16T15:55:40.00329494476318,27.46768778,-80.31930932
2016-06-16T15:55:44.903300046921,27.46768498,-80.31926943
2016-06-16T15:55:49.799230098724,27.46768698,-80.31923781
2016-06-16T15:55:54.796222925186,27.46768418,-80.31919791
2016-06-16T15:55:59.793384075165,27.46767748,-80.31915632
2016-06-16T15:56:04.789452075958,27.46767538,-80.3191264
2016-06-16T15:56:09.699950933456,27.46767738,-80.31909478
2016-06-16T15:56:14.718291044235,27.46767458,-80.31905489
2016-06-16T15:56:19.63475894928,27.46767659,-80.31902327
2016-06-16T15:56:24.529831886292,27.46766578,-80.31898337
2016-06-16T15:56:29.524308919907,27.46766708,-80.31894178
2016-06-16T15:56:34.425425052643,27.46766498,-80.31891186
2016-06-16T15:56:39.330513954163,27.46767429,-80.31887026
2016-06-16T15:56:44.22681593895,27.4676756,-80.31882867
2016-06-16T15:56:49.125866889954,27.4676735,-80.31879875
2016-06-16T15:56:54.0230588912964,27.46766679,-80.31875716
2016-06-16T15:56:58.922822952271,27.46766399,-80.31871726
2016-06-16T15:57:03.821517944336,27.46766599,-80.31868564
2016-06-16T15:57:08.829217910767,27.46766319,-80.31864575
2016-06-16T15:57:13.827269077301,27.46766109,-80.31861583
2016-06-16T15:57:18.720324993134,27.4676631,-80.31858421
2016-06-16T15:57:23.612768888474,27.46765299,-80.31855429
2016-06-16T15:57:28.5093998909,27.46765019,-80.3185144
2016-06-16T15:57:33.504795074463,27.46764419,-80.31848278
2016-06-16T15:57:38.503299951553,27.46763748,-80.31844118
2016-06-16T15:57:43.397907018661,27.46763538,-80.31841126
2016-06-16T15:57:48.294416904449,27.46762868,-80.31836967
2016-06-16T15:57:53.190007925034,27.46762658,-80.31833975
2016-06-16T15:57:58.0816268920898,27.46761647,-80.31830983
2016-06-16T15:58:02.993213891983,27.46761777,-80.31826823
